Location,No. of Cases,Date,Coordinates,Closest Location,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
"Chestnut Drive, Singapore",5,05-10-18,"1.3692511, 103.7695212",Bukit Panjang ,0,0,0,0,—,—,—,—,—
"Tampines Street 12 (Blk 141), Singapore",1,05-10-18,"1.3483202, 103.9448992",Simei ,0,0,0,0,—,—,—,—,—
"Tampines Street 12 (Blk 159), Singapore",2,05-10-18,"1.3510222, 103.9459870",Simei ,0,0,0,0,—,—,—,—,—
"Tampines Street 12 (Blk 164), Singapore",1,05-10-18,"1.3495577, 103.9460777",Simei ,0,0,0,0,—,—,—,—,—
"Circuit Road (Blk 6 2), Singapore",1,05-10-18,"1.3287894, 103.8879708",Whampoa ,0,0,0,0,—,—,—,—,—
"Circuit Road (Blk 6 6), Singapore",2,05-10-18,"1.3287894, 103.8879708",Whampoa ,0,0,0,0,—,—,—,—,—
"Everitt Road, Singapore",2,05-10-18,"1.3123225, 103.9029585",Tanjong Katong ,0,0,0,0,—,—,—,—,—
"Tembeling Road, Singapore",1,05-10-18,"1.3104906, 103.9028207",Tanjong Katong ,0,0,0,0,—,—,—,—,—
"Jalan Mutiara (M5), Singapore",1,05-10-18,"1.2958218, 103.8288947",Somerset (Road) ,0,0,0,0,—,—,—,—,—
"Jalan Mutiara (Mutiara View), Singapore",2,05-10-18,"1.2957045, 103.8285780",Somerset (Road) ,0,0,0,0,—,—,—,—,—
"Pasir Ris Street 12 (Blk 103), Singapore",1,05-10-18,"1.3677335, 103.9582933",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Pasir Ris Street 12 (Blk 107), Singapore",1,05-10-18,"1.3677199, 103.9575001",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Bedok North Avenue 1 (Blk 549), Singapore",2,08-10-18,"1.3316666, 103.9267705",Chai Chee ,0.4,0.4,0.4,0.4,—,—,—,—,—
"Bedok North Street 3 (Blk 533 ), Singapore",4,08-10-18,"1.3335837, 103.9242327",Chai Chee ,0.4,0.4,0.4,0.4,—,—,—,—,—
"Bedok North Street 3 (Blk 534 ), Singapore",3,08-10-18,"1.3331420, 103.9246859",Chai Chee ,0.4,0.4,0.4,0.4,—,—,—,—,—
"Bedok North Street 3 (Blk 535 ), Singapore",5,08-10-18,"1.3327830, 103.9235076",Chai Chee ,0.4,0.4,0.4,0.4,—,—,—,—,—
"Bedok North Street 3 (Blk 536 ), Singapore",21,08-10-18,"1.3334447, 103.9229638",Chai Chee ,0.4,0.4,0.4,0.4,—,—,—,—,—
"Bedok North Street 3 (Blk 537 ), Singapore",10,08-10-18,"1.3320819, 103.9240161",Chai Chee ,0.4,0.4,0.4,0.4,—,—,—,—,—
"Bedok North Street 3 (Blk 539 ), Singapore",2,08-10-18,"1.3314711, 103.9257531",Chai Chee ,0.4,0.4,0.4,0.4,—,—,—,—,—
"Bedok North Street 3 (Blk 540 ), Singapore",1,08-10-18,"1.3311815, 103.9220574",Chai Chee ,0.4,0.4,0.4,0.4,—,—,—,—,—
"Bedok North Street 3 (Blk 541 ), Singapore",4,08-10-18,"1.3313958, 103.9229638",Chai Chee ,0.4,0.4,0.4,0.4,—,—,—,—,—
"Bedok North Street 3 (Blk 547 ), Singapore",1,08-10-18,"1.3303589, 103.9251390",Chai Chee ,0.4,0.4,0.4,0.4,—,—,—,—,—
"Bedok North Street 3 (Blk 556 ), Singapore",7,08-10-18,"1.3326342, 103.9227262",Chai Chee ,0.4,0.4,0.4,0.4,—,—,—,—,—
"Bedok North Street 3 (Blk 557 ), Singapore",1,08-10-18,"1.3329198, 103.9220513",Chai Chee ,0.4,0.4,0.4,0.4,—,—,—,—,—
"Tampines Street 12 (Blk 141), Singapore",3,08-10-18,"1.3483202, 103.9448992",Simei ,0.8,0.6,0.6,0.6,—,—,—,—,—
"Tampines Street 12 (Blk 159), Singapore",2,08-10-18,"1.3510222, 103.9459870",Simei ,0.8,0.6,0.6,0.6,—,—,—,—,—
"Tampines Street 12 (Blk 164), Singapore",1,08-10-18,"1.3495577, 103.9460777",Simei ,0.8,0.6,0.6,0.6,—,—,—,—,—
"Chestnut Drive, Singapore",5,08-10-18,"1.3692511, 103.7695212",Bukit Panjang ,95.2,47.6,68.4,94.6,—,—,—,—,—
"Circuit Road (Blk 6 2), Singapore",1,08-10-18,"1.3287894, 103.8879708",Whampoa ,6,3.2,4.6,4.6,—,—,—,—,—
"Circuit Road (Blk 6 6), Singapore",2,08-10-18,"1.3287894, 103.8879708",Whampoa ,6,3.2,4.6,4.6,—,—,—,—,—
"Everitt Road, Singapore",2,08-10-18,"1.3123225, 103.9029585",Tanjong Katong ,6.2,6.2,6.2,6.2,—,—,—,—,—
"Tembeling Road, Singapore",1,08-10-18,"1.3104906, 103.9028207",Tanjong Katong ,6.2,6.2,6.2,6.2,—,—,—,—,—
"Chun Tin Road, Singapore",1,08-10-18,"1.3419378, 103.7738584",Clementi ,26,12,12.4,23,26.2,32,23.7,3.2,26.3
"Lorong Pisang Emas, Singapore",1,08-10-18,"1.3439384, 103.7715726",Bukit Panjang ,95.2,47.6,68.4,94.6,—,—,—,—,—
"Joo Chiat Road, Singapore",1,08-10-18,"1.3099091, 103.9020269",Tanjong Katong ,6.2,6.2,6.2,6.2,—,—,—,—,—
"Onan Road, Singapore",1,08-10-18,"1.3110822, 103.9004189",Tanjong Katong ,6.2,6.2,6.2,6.2,—,—,—,—,—
"Pasir Ris Street 12 (Blk 103), Singapore",1,08-10-18,"1.3677335, 103.9582933",Pasir Ris (Central) ,1.2,0.8,0.8,0.8,—,—,—,—,—
"Pasir Ris Street 12 (Blk 107), Singapore",1,08-10-18,"1.3677199, 103.9575001",Pasir Ris (Central) ,1.2,0.8,0.8,0.8,—,—,—,—,—
"Bedok North Avenue 1 (Blk 549), Singapore",2,12-10-18,"1.3316666, 103.9267705",Chai Chee ,27.8,21.4,22.8,23.8,—,—,—,—,—
"Bedok North Street 3 (B lk 533), Singapore",4,12-10-18,"1.3335837, 103.9242327",Chai Chee ,27.8,21.4,22.8,23.8,—,—,—,—,—
"Bedok North Street 3 (B lk 534), Singapore",3,12-10-18,"1.3331420, 103.9246859",Chai Chee ,27.8,21.4,22.8,23.8,—,—,—,—,—
"Bedok North Street 3 (B lk 535), Singapore",5,12-10-18,"1.3327830, 103.9235076",Chai Chee ,27.8,21.4,22.8,23.8,—,—,—,—,—
"Bedok North Street 3 (B lk 536), Singapore",21,12-10-18,"1.3334447, 103.9229638",Chai Chee ,27.8,21.4,22.8,23.8,—,—,—,—,—
"Bedok North Street 3 (B lk 537), Singapore",10,12-10-18,"1.3320819, 103.9240161",Chai Chee ,27.8,21.4,22.8,23.8,—,—,—,—,—
"Bedok North Street 3 (B lk 539), Singapore",2,12-10-18,"1.3314711, 103.9257531",Chai Chee ,27.8,21.4,22.8,23.8,—,—,—,—,—
"Bedok North Street 3 (B lk 540), Singapore",1,12-10-18,"1.3311815, 103.9220574",Chai Chee ,27.8,21.4,22.8,23.8,—,—,—,—,—
"Bedok North Street 3 (B lk 541), Singapore",4,12-10-18,"1.3313958, 103.9229638",Chai Chee ,27.8,21.4,22.8,23.8,—,—,—,—,—
"Bedok North Street 3 (B lk 544), Singapore",1,12-10-18,"1.3305842, 103.9241420",Chai Chee ,27.8,21.4,22.8,23.8,—,—,—,—,—
"Bedok North Street 3 (B lk 547), Singapore",1,12-10-18,"1.3303589, 103.9251390",Chai Chee ,27.8,21.4,22.8,23.8,—,—,—,—,—
"Bedok North Street 3 (B lk 556), Singapore",7,12-10-18,"1.3326342, 103.9227262",Chai Chee ,27.8,21.4,22.8,23.8,—,—,—,—,—
"Bedok North Street 3 (B lk 557), Singapore",1,12-10-18,"1.3329198, 103.9220513",Chai Chee ,27.8,21.4,22.8,23.8,—,—,—,—,—
"Tampines Street 12 (Blk 141), Singapore",3,12-10-18,"1.3483202, 103.9448992",Simei ,38.6,23.6,32.8,34.2,—,—,—,—,—
"Tampines Street 12 (Blk 159), Singapore",2,12-10-18,"1.3510222, 103.9459870",Simei ,38.6,23.6,32.8,34.2,—,—,—,—,—
"Tampines Street 12 (Blk 164), Singapore",1,12-10-18,"1.3495577, 103.9460777",Simei ,38.6,23.6,32.8,34.2,—,—,—,—,—
"Cantonment Road (Blk 1 D), Singapore",1,12-10-18,"1.2769450, 103.8414870",Somerset (Road) ,6.4,2.6,3,3,—,—,—,—,—
"Cantonment Road (Blk 1 G), Singapore",2,12-10-18,"1.2755784, 103.8412807",Somerset (Road) ,6.4,2.6,3,3,—,—,—,—,—
"Tanjong Pagar Plaza (Blk 1), Singapore",1,12-10-18,"1.2748632, 103.8426344",Dhoby Ghaut ,7.6,3,3.4,3.4,—,—,—,—,—
"Henderson Road (Blk 9 1), Singapore",3,12-10-18,"1.2900494, 103.8230119",Queenstown ,5.2,3,3.2,3.2,—,—,—,—,—
"Henderson Road (Blk 9 2), Singapore",1,12-10-18,"1.2900494, 103.8230119",Queenstown ,5.2,3,3.2,3.2,—,—,—,—,—
"Balestier Road, Singapore",1,12-10-18,"1.3214951, 103.8528591",Whampoa ,8.4,2.8,3.8,4.4,—,—,—,—,—
"Jalan Ampas, Singapore",1,12-10-18,"1.3264410, 103.8515942",Whampoa ,8.4,2.8,3.8,4.4,—,—,—,—,—
"Kim Keat Road (Rega l Court), Singapore",1,12-10-18,"1.3245448, 103.8529870",Whampoa ,8.4,2.8,3.8,4.4,—,—,—,—,—
"Bukit Batok West Avenue 8 (Blk 175), Singapore",1,12-10-18,"1.3456957, 103.7418168",Jurong (North) ,2.6,1,1.2,1.2,—,—,—,—,—
"Bukit Batok West Avenue 8 (Blk 178), Singapore",1,12-10-18,"1.3460577, 103.7425409",Jurong (North) ,2.6,1,1.2,1.2,—,—,—,—,—
"Chun Tin Road, Singapore",1,12-10-18,"1.3419378, 103.7738584",Clementi ,5,1.6,2,2,26.5,30.8,24.2,4,21.6
"Lorong Pisang Emas, Singapore",1,12-10-18,"1.3439384, 103.7715726",Bukit Panjang ,4.6,1.6,2,2.2,—,—,—,—,—
"Pasir Ris Street 12 (Blk 103), Singapore",1,12-10-18,"1.3677335, 103.9582933",Pasir Ris (Central) ,66.6,46.2,58.8,62.2,—,—,—,—,—
"Pasir Ris Street 12 (Blk 107), Singapore",1,12-10-18,"1.3677199, 103.9575001",Pasir Ris (Central) ,66.6,46.2,58.8,62.2,—,—,—,—,—
"Yishun Ring Road (Blk 2 53), Singapore",1,12-10-18,"1.4349683, 103.8405334",Yishun ,15.4,8.2,9.6,11.8,—,—,—,—,—
"Yishun Ring Road (Blk 2 57), Singapore",1,12-10-18,"1.4345711, 103.8394917",Yishun ,15.4,8.2,9.6,11.8,—,—,—,—,—
"Bedok North Avenue 1 (Blk 549), Singapore",2,15-10-18,"1.3316666, 103.9267705",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok North Street 3 (B lk 533), Singapore",4,15-10-18,"1.3335837, 103.9242327",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok North Street 3 (B lk 534), Singapore",3,15-10-18,"1.3331420, 103.9246859",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok North Street 3 (B lk 535), Singapore",5,15-10-18,"1.3327830, 103.9235076",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok North Street 3 (B lk 536), Singapore",21,15-10-18,"1.3334447, 103.9229638",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok North Street 3 (B lk 537), Singapore",10,15-10-18,"1.3320819, 103.9240161",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok North Street 3 (B lk 539), Singapore",3,15-10-18,"1.3314711, 103.9257531",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok North Street 3 (B lk 540), Singapore",1,15-10-18,"1.3311815, 103.9220574",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok North Street 3 (B lk 541), Singapore",4,15-10-18,"1.3313958, 103.9229638",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok North Street 3 (B lk 544), Singapore",1,15-10-18,"1.3305842, 103.9241420",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok North Street 3 (B lk 547), Singapore",1,15-10-18,"1.3303589, 103.9251390",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok North Street 3 (B lk 556), Singapore",7,15-10-18,"1.3326342, 103.9227262",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok North Street 3 (B lk 557), Singapore",1,15-10-18,"1.3329198, 103.9220513",Chai Chee ,0,0,0,0,—,—,—,—,—
"Tampines Street 12 (Blk 141), Singapore",3,15-10-18,"1.3483202, 103.9448992",Simei ,0,0,0,0,—,—,—,—,—
"Tampines Street 12 (Blk 159), Singapore",2,15-10-18,"1.3510222, 103.9459870",Simei ,0,0,0,0,—,—,—,—,—
"Tampines Street 12 (Blk 164), Singapore",1,15-10-18,"1.3495577, 103.9460777",Simei ,0,0,0,0,—,—,—,—,—
"Cantonment Road (Blk 1 D), Singapore",1,15-10-18,"1.2769450, 103.8414870",Somerset (Road) ,0,0,0,0,—,—,—,—,—
"Cantonment Road (Blk 1 G), Singapore",2,15-10-18,"1.2755784, 103.8412807",Somerset (Road) ,0,0,0,0,—,—,—,—,—
"Tanjong Pagar Plaza (Blk 1), Singapore",1,15-10-18,"1.2748632, 103.8426344",Dhoby Ghaut ,0.2,0.2,0.2,0.2,—,—,—,—,—
"Henderson Road (Blk 9 1), Singapore",3,15-10-18,"1.2900494, 103.8230119",Queenstown ,0,0,0,0,—,—,—,—,—
"Henderson Road (Blk 9 2), Singapore",1,15-10-18,"1.2900494, 103.8230119",Queenstown ,0,0,0,0,—,—,—,—,—
"Balestier Road, Singapore",1,15-10-18,"1.3214951, 103.8528591",Whampoa ,0,0,0,0,—,—,—,—,—
"Jalan Ampas, Singapore",1,15-10-18,"1.3264410, 103.8515942",Whampoa ,0,0,0,0,—,—,—,—,—
"Kim Keat Road (Rega l Court), Singapore",1,15-10-18,"1.3245448, 103.8529870",Whampoa ,0,0,0,0,—,—,—,—,—
"Marine Parade Road (Lagu na Park), Singapore",3,15-10-18,"1.3090605, 103.9293002",East Coast Parkway ,0,0,0,0,27.9,30.7,25.4,9.7,29.9
"Bukit Batok West Avenue 8 (Blk 175), Singapore",1,15-10-18,"1.3456957, 103.7418168",Jurong (North) ,0,0,0,0,—,—,—,—,—
"Bukit Batok West Avenue 8 (Blk 178), Singapore",1,15-10-18,"1.3460577, 103.7425409",Jurong (North) ,0,0,0,0,—,—,—,—,—
"Chun Tin Road, Singapore",1,15-10-18,"1.3419378, 103.7738584",Clementi ,0,0,0,0,27.9,32.4,24.3,4.3,19.8
"Lorong Pisang Emas, Singapore",1,15-10-18,"1.3439384, 103.7715726",Bukit Panjang ,0,0,0,0,—,—,—,—,—
"Pasir Ris Street 12 (Blk 103), Singapore",1,15-10-18,"1.3677335, 103.9582933",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Pasir Ris Street 12 (Blk 107), Singapore",1,15-10-18,"1.3677199, 103.9575001",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Yishun Ring Road (Blk 2 53), Singapore",1,15-10-18,"1.4349683, 103.8405334",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Ring Road (Blk 2 57), Singapore",1,15-10-18,"1.4345711, 103.8394917",Yishun ,0,0,0,0,—,—,—,—,—
"Bedok North Avenue 1 (Blk 549), Singapore",2,19-10-18,"1.3316666, 103.9267705",Chai Chee ,17.2,13.8,15.8,16.8,—,—,—,—,—
"Bedok North Street 3 (B lk 533), Singapore",4,19-10-18,"1.3335837, 103.9242327",Chai Chee ,17.2,13.8,15.8,16.8,—,—,—,—,—
"Bedok North Street 3 (B lk 534), Singapore",3,19-10-18,"1.3331420, 103.9246859",Chai Chee ,17.2,13.8,15.8,16.8,—,—,—,—,—
"Bedok North Street 3 (B lk 535), Singapore",5,19-10-18,"1.3327830, 103.9235076",Chai Chee ,17.2,13.8,15.8,16.8,—,—,—,—,—
"Bedok North Street 3 (B lk 536), Singapore",21,19-10-18,"1.3334447, 103.9229638",Chai Chee ,17.2,13.8,15.8,16.8,—,—,—,—,—
"Bedok North Street 3 (B lk 537), Singapore",10,19-10-18,"1.3320819, 103.9240161",Chai Chee ,17.2,13.8,15.8,16.8,—,—,—,—,—
"Bedok North Street 3 (B lk 539), Singapore",3,19-10-18,"1.3314711, 103.9257531",Chai Chee ,17.2,13.8,15.8,16.8,—,—,—,—,—
"Bedok North Street 3 (B lk 540), Singapore",1,19-10-18,"1.3311815, 103.9220574",Chai Chee ,17.2,13.8,15.8,16.8,—,—,—,—,—
"Bedok North Street 3 (B lk 541), Singapore",4,19-10-18,"1.3313958, 103.9229638",Chai Chee ,17.2,13.8,15.8,16.8,—,—,—,—,—
"Bedok North Street 3 (B lk 544), Singapore",1,19-10-18,"1.3305842, 103.9241420",Chai Chee ,17.2,13.8,15.8,16.8,—,—,—,—,—
"Bedok North Street 3 (B lk 547), Singapore",2,19-10-18,"1.3303589, 103.9251390",Chai Chee ,17.2,13.8,15.8,16.8,—,—,—,—,—
"Bedok North Street 3 (B lk 556), Singapore",7,19-10-18,"1.3326342, 103.9227262",Chai Chee ,17.2,13.8,15.8,16.8,—,—,—,—,—
"Bedok North Street 3 (B lk 557), Singapore",1,19-10-18,"1.3329198, 103.9220513",Chai Chee ,17.2,13.8,15.8,16.8,—,—,—,—,—
"Tampines Street 12 (Blk 141), Singapore",4,19-10-18,"1.3483202, 103.9448992",Simei ,9.2,5.6,8.4,9,—,—,—,—,—
"Tampines Street 12 (Blk 144), Singapore",2,19-10-18,"1.3484372, 103.9436755",Simei ,9.2,5.6,8.4,9,—,—,—,—,—
"Tampines Street 12 (Blk 159), Singapore",3,19-10-18,"1.3510222, 103.9459870",Simei ,9.2,5.6,8.4,9,—,—,—,—,—
"Tampines Street 12 (Blk 160), Singapore",1,19-10-18,"1.3507347, 103.9450805",Simei ,9.2,5.6,8.4,9,—,—,—,—,—
"Tampines Street 12 (Blk 164), Singapore",1,19-10-18,"1.3495577, 103.9460777",Simei ,9.2,5.6,8.4,9,—,—,—,—,—
"Tampines Street 21 (Blk 247), Singapore",1,19-10-18,"1.3522764, 103.9469347",Simei ,9.2,5.6,8.4,9,—,—,—,—,—
"Balestier Road, Singapore",2,19-10-18,"1.3214951, 103.8528591",Whampoa ,7.6,3.8,5,6.2,—,—,—,—,—
"Balestier Road (Twin Heights), Singapore",1,19-10-18,"1.3246291, 103.8519923",Whampoa ,7.6,3.8,5,6.2,—,—,—,—,—
"Jalan Ampas, Singapore",1,19-10-18,"1.3264410, 103.8515942",Whampoa ,7.6,3.8,5,6.2,—,—,—,—,—
"Kim Keat Road (Rega l Court), Singapore",1,19-10-18,"1.3245448, 103.8529870",Whampoa ,7.6,3.8,5,6.2,—,—,—,—,—
"Balestier Road, Singapore",1,19-10-18,"1.3214951, 103.8528591",Whampoa ,7.6,3.8,5,6.2,—,—,—,—,—
"Kim Keat Close, Singapore",1,19-10-18,"1.3239373, 103.8534166",Whampoa ,7.6,3.8,5,6.2,—,—,—,—,—
"Kim Keat Road, Singapore",1,19-10-18,"1.3252133, 103.8536728",Whampoa ,7.6,3.8,5,6.2,—,—,—,—,—
"Kim Keat Road (Kim K eat House), Singapore",1,19-10-18,"1.3253519, 103.8538639",Whampoa ,7.6,3.8,5,6.2,—,—,—,—,—
"Cantonment Road (Blk 1 G), Singapore",2,19-10-18,"1.2755784, 103.8412807",Somerset (Road) ,7.2,3.8,4.8,5.6,—,—,—,—,—
"Tanjong Pagar Plaza (Blk 1), Singapore",1,19-10-18,"1.2748632, 103.8426344",Dhoby Ghaut ,7.2,4,5,5.6,—,—,—,—,—
"Tanjong Pagar Plaza (Blk 3), Singapore",1,19-10-18,"1.2756426, 103.8424563",Dhoby Ghaut ,7.2,4,5,5.6,—,—,—,—,—
"Henderson Road (Blk 9 1), Singapore",3,19-10-18,"1.2900494, 103.8230119",Queenstown ,2.2,0.8,1.2,1.8,—,—,—,—,—
"Henderson Road (Blk 9 2), Singapore",1,19-10-18,"1.2900494, 103.8230119",Queenstown ,2.2,0.8,1.2,1.8,—,—,—,—,—
"Marine Parade Road (Lagu na Park), Singapore",4,19-10-18,"1.3090605, 103.9293002",East Coast Parkway ,3.8,2.4,3.4,3.6,27.9,30.3,24.7,12.6,37.1
"Bedok Reservoir Road (Blk 1 32), Singapore",1,19-10-18,"1.3329230, 103.9119068",Chai Chee ,17.2,13.8,15.8,16.8,—,—,—,—,—
"Bedok Reservoir Road, Singapore",1,19-10-18,"1.3370403, 103.9215479",Chai Chee ,17.2,13.8,15.8,16.8,—,—,—,—,—
"Bishan Street 13 (Blk 153), Singapore",1,19-10-18,"1.3461340, 103.8550950",Toa Payoh ,12.4,8.8,10.6,11.8,—,—,—,—,—
"Bishan Street 13 (Blk 157), Singapore",1,19-10-18,"1.3459049, 103.8567256",Toa Payoh ,12.4,8.8,10.6,11.8,—,—,—,—,—
"Bedok North Avenue 1 (Blk 549), Singapore",2,22-10-18,"1.3316666, 103.9267705",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok North Street 3 (B lk 533), Singapore",4,22-10-18,"1.3335837, 103.9242327",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok North Street 3 (B lk 534), Singapore",3,22-10-18,"1.3331420, 103.9246859",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok North Street 3 (B lk 535), Singapore",5,22-10-18,"1.3327830, 103.9235076",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok North Street 3 (B lk 536), Singapore",21,22-10-18,"1.3334447, 103.9229638",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok North Street 3 (B lk 537), Singapore",10,22-10-18,"1.3320819, 103.9240161",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok North Street 3 (B lk 539), Singapore",3,22-10-18,"1.3314711, 103.9257531",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok North Street 3 (B lk 540), Singapore",1,22-10-18,"1.3311815, 103.9220574",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok North Street 3 (B lk 541), Singapore",4,22-10-18,"1.3313958, 103.9229638",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok North Street 3 (B lk 544), Singapore",1,22-10-18,"1.3305842, 103.9241420",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok North Street 3 (B lk 547), Singapore",2,22-10-18,"1.3303589, 103.9251390",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok North Street 3 (B lk 556), Singapore",7,22-10-18,"1.3326342, 103.9227262",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok North Street 3 (B lk 557), Singapore",1,22-10-18,"1.3329198, 103.9220513",Chai Chee ,0,0,0,0,—,—,—,—,—
"Tampines Street 12 (Blk 141), Singapore",4,22-10-18,"1.3483202, 103.9448992",Simei ,0,0,0,0,—,—,—,—,—
"Tampines Street 12 (Blk 144), Singapore",3,22-10-18,"1.3484372, 103.9436755",Simei ,0,0,0,0,—,—,—,—,—
"Tampines Street 12 (Blk 159), Singapore",3,22-10-18,"1.3510222, 103.9459870",Simei ,0,0,0,0,—,—,—,—,—
"Tampines Street 12 (Blk 160), Singapore",1,22-10-18,"1.3507347, 103.9450805",Simei ,0,0,0,0,—,—,—,—,—
"Tampines Street 12 (Blk 164), Singapore",1,22-10-18,"1.3495577, 103.9460777",Simei ,0,0,0,0,—,—,—,—,—
"Tampines Street 21 (Blk 247), Singapore",1,22-10-18,"1.3522764, 103.9469347",Simei ,0,0,0,0,—,—,—,—,—
"Balestier Road, Singapore",2,22-10-18,"1.3214951, 103.8528591",Whampoa ,0,0,0,0,—,—,—,—,—
"Balestier Road (Twin Heights), Singapore",1,22-10-18,"1.3246291, 103.8519923",Whampoa ,0,0,0,0,—,—,—,—,—
"Jalan Ampas, Singapore",1,22-10-18,"1.3264410, 103.8515942",Whampoa ,0,0,0,0,—,—,—,—,—
"Jalan Ampas (The Viridian), Singapore",1,22-10-18,"1.3259882, 103.8515773",Whampoa ,0,0,0,0,—,—,—,—,—
"Kim Keat Road (Rega l Court), Singapore",1,22-10-18,"1.3245448, 103.8529870",Whampoa ,0,0,0,0,—,—,—,—,—
"Henderson Road (Blk 9 1), Singapore",3,22-10-18,"1.2900494, 103.8230119",Queenstown ,0,0,0,0,—,—,—,—,—
"Henderson Road (Blk 9 2), Singapore",1,22-10-18,"1.2900494, 103.8230119",Queenstown ,0,0,0,0,—,—,—,—,—
"Redhill Lane (Blk 8 2), Singapore",2,22-10-18,"1.2881705, 103.8181302",Queenstown ,0,0,0,0,—,—,—,—,—
"Balestier Road, Singapore",1,22-10-18,"1.3214951, 103.8528591",Whampoa ,0,0,0,0,—,—,—,—,—
"Kim Keat Close, Singapore",1,22-10-18,"1.3239373, 103.8534166",Whampoa ,0,0,0,0,—,—,—,—,—
"Kim Keat Road, Singapore",1,22-10-18,"1.3252133, 103.8536728",Whampoa ,0,0,0,0,—,—,—,—,—
"Kim Keat Road (Kim K eat House), Singapore",1,22-10-18,"1.3253519, 103.8538639",Whampoa ,0,0,0,0,—,—,—,—,—
"Cantonment Road (Blk 1 G), Singapore",2,22-10-18,"1.2755784, 103.8412807",Somerset (Road) ,0,0,0,0,—,—,—,—,—
"Tanjong Pagar Plaza (Blk 1), Singapore",1,22-10-18,"1.2748632, 103.8426344",Dhoby Ghaut ,0,0,0,0,—,—,—,—,—
"Tanjong Pagar Plaza (Blk 3), Singapore",1,22-10-18,"1.2756426, 103.8424563",Dhoby Ghaut ,0,0,0,0,—,—,—,—,—
"Marine Parade Road (Lagu na Park), Singapore",4,22-10-18,"1.3090605, 103.9293002",East Coast Parkway ,0,0,0,0,28.8,30.2,26.9,12.6,38.2
"Bedok Reservoir Road (Blk 1 32), Singapore",1,22-10-18,"1.3329230, 103.9119068",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road, Singapore",1,22-10-18,"1.3370403, 103.9215479",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bishan Street 13 (Blk 153), Singapore",1,22-10-18,"1.3461340, 103.8550950",Toa Payoh ,0,0,0,0,—,—,—,—,—
"Bishan Street 13 (Blk 157), Singapore",1,22-10-18,"1.3459049, 103.8567256",Toa Payoh ,0,0,0,0,—,—,—,—,—
"Gangsa Road (Blk 1 66), Singapore",2,22-10-18,"1.3795180, 103.7666460",Bukit Panjang ,0.4,0.4,0.4,0.4,—,—,—,—,—
"Tampines Street 12 (Blk 140), Singapore",1,26-10-18,"1.3475946, 103.9438114",Simei ,1,1,1,1,—,—,—,—,—
"Tampines Street 12 (Blk 141), Singapore",5,26-10-18,"1.3483202, 103.9448992",Simei ,1,1,1,1,—,—,—,—,—
"Tampines Street 12 (Blk 144), Singapore",3,26-10-18,"1.3484372, 103.9436755",Simei ,1,1,1,1,—,—,—,—,—
"Tampines Street 12 (Blk 159), Singapore",3,26-10-18,"1.3510222, 103.9459870",Simei ,1,1,1,1,—,—,—,—,—
"Tampines Street 12 (Blk 160), Singapore",1,26-10-18,"1.3507347, 103.9450805",Simei ,1,1,1,1,—,—,—,—,—
"Tampines Street 12 (Blk 164), Singapore",1,26-10-18,"1.3495577, 103.9460777",Simei ,1,1,1,1,—,—,—,—,—
"Tampines Street 21 (Blk 247), Singapore",1,26-10-18,"1.3522764, 103.9469347",Simei ,1,1,1,1,—,—,—,—,—
