Cantonment Close (Blk 18),"1.2738709, 103.8394238"
od Terrace ood Towers),"40.4424000, -79.8851420"
Lengkong Tiga (Blk 111),"1.3241496, 103.9111766"
Rivervale Drive (Blk 117A),"1.3831710, 103.9026130"
Aida Street,"1.3186847, 103.9279885"
uru Place,"1.3120730, 103.8646369"
Woodlands Street 41 (Blk 415),"1.4280568, 103.7739506"
Pasir Ris Drive 6 (Blk 416),"1.3716851, 103.9556869"
Eunos Crescent (Blk 12),"1.3222850, 103.9041130"
Bishan Street 22 (Blk 285),"1.3588704, 103.8438374"
Upper Boon Keng Road (Blk 5A),"1.3134277, 103.8734187"
Chu Kang Loop Warren),"1.3862925, 103.7434858"
Woodlands Crescent (Blk 780D),"1.4483150, 103.8009103"
Guan Soon Avenue,"1.3378585, 103.9536234"
o Kio Street 31 k 309A),"1.3658837, 103.8479881"
Choa Chu Kang Avenue 3 (Blk 292),"1.3782930, 103.7396790"
Rivervale Crescent (Blk 157B),"1.3876110, 103.9081280"
Sembawang Drive (Blk 462),"1.4545853, 103.8138601"
Bedok Reservoir Road (Blk 115),"1.3306733, 103.9086442"
Jurong West Street 73 (Blk 744),"1.3468191, 103.6991918"
Pasir Ris Street 52 (Blk 516),"1.3741036, 103.9430862"
Almond Crescent,"1.3730839, 103.7730664"
Jurong East Street 13 (Blk 117),"1.3379699, 103.7351169"
Kio Avenue 3 lk 210),"1.3764082, 103.8490615"
Choa Chu Kang Avenue 2 (Blk 274),"1.3793780, 103.7428220"
Park Villas Terrace,"1.3679503, 103.8801438"
Bukit Batok West Avenue 5 (Blk 389),"1.3653721, 103.7522773"
Lorong 27 Geylang (The Centren),"1.3139549, 103.8835768"
Geylang Road,"1.3200544, 103.8917746"
Simei Street 4 (Blk 225),"1.3423933, 103.9572281"
Rivervale Street (Blk 125),"1.3889411, 103.9028669"
Tampines Street 11 (Blk 111),"1.3469153, 103.9473468"
Hougang Avenue 7>br/> (Blk 317),"1.3677419, 103.8982756"
Pasir Ris Street 71 (Blk 776),"1.3751087, 103.9372622"
Bukit Batok West Avenue 5 (Blk 386),"1.3639067, 103.7525406"
Jurong West Street 61 (Blk 645),"1.3392815, 103.6965650"
engkong Tiga (Blk 114),"1.3231895, 103.9122693"
Serangoon Road,"1.3165046, 103.8591509"
Jalan Damai (Blk 667),"1.3338199, 103.9086442"
Pine Close (Blk 1),"1.3079191, 103.8832694"
Bedok Road,"1.3264714, 103.9512968"
Bedok Reservoir Road (Blk 131),"1.3331446, 103.9115443"
Canberra Road (Blk 419),"1.4522782, 103.8188412"
Lorong 37 Geylang (Palm Lodge),"1.3153819, 103.8894782"
assia Crescent (Blk 28),"1.3090145, 103.8836338"
Bukit Batok Street 21 (Blk 207),"1.3462385, 103.7493298"
ew Avenue,"1.2754526, 103.7958404"
Hougang Avenue 8 (Blk 676),"1.3716708, 103.8839963"
Woodlands Drive 60 (Blk 771),"1.4468451, 103.7982164"
Balam Road (Blk 19),"1.3314533, 103.8875301"
Bukit Batok Street 24 (Blk 291B),"1.3430456, 103.7556637"
u Terrace,"1.2923930, 103.7757260"
Bedok North Street 3 (Blk 547),"1.3303589, 103.9251390"
Jalan Paras,"1.3258853, 103.9168687"
Cantonment Close (Blk 13),"1.2746874, 103.8404881"
Shaw Road,"1.3368570, 103.8846795"
Choa Chu ang Avenue 4 (Blk 444),"1.3816244, 103.7372887"
g Avenue 10 lk 510),"1.3669420, 103.8565960"
Ang Mo Kio Avenue 3 (Blk 425),"1.3690092, 103.8515813"
ds Street 83 lk 865),"1.3532070, 103.9344639"
Bishan Street 13 (Blk 176),"1.3482009, 103.8537362"
Avenue 1 lk 319),"1.3650738, 103.8473951"
nds Drive 73 k 686A),"1.4421015, 103.8055513"
orong Ah Soo (Blk 135),"1.3501237, 103.8867146"
Terrasse Lane (Terrasse),"1.3680211, 103.8766355"
Lichi Avenue,"1.3331937, 103.8765729"
ivervale Walk (Blk 110),"1.3838059, 103.8999572"
Ang Mo Kio Avenue 10 (Blk 458),"1.3666504, 103.8595793"
Bedok Reservoir Road (Blk 711),"1.3360022, 103.9235982"
Pasir Ris Street 71 (Blk 768),"1.3754125, 103.9354493"
Lorong 5 Toa Payoh (Blk 59),"1.3366946, 103.8518051"
Bedok Ria Cresent,"1.3268540, 103.9531946"
Hougang Avenue 1 (Blk 109),"1.3552337, 103.8893423"
Bukit Batok Street 41,"1.3561509, 103.7416555"
Bedok North Street 3 (Blk 509),"1.3339204, 103.9310499"
Choa Chu Kang Loop (Northvale),"1.3875402, 103.7452000"
Ang Mo Kio Avenue 10 (Blk 461),"1.3675797, 103.8572692"
Geylang East Avenue 1 Central Grove),"1.3159873, 103.8844239"
Pandan Gardens (Blk 405),"1.3192822, 103.7496893"
Choa Chu Kang Avenue 2 (Blk 297),"1.3770950, 103.7417450"
es Street 22 lk 278),"1.3467300, 103.9513640"
Ang Mo Kio Avenue 8 (Blk 511),"1.3735561, 103.8501126"
Choa Chu Kang Avenue 2 (Blk 272),"1.3788044, 103.7430815"
Yishun Street 81 (Blk 867),"1.4140957, 103.8377028"
Jurong East Street 21 (Blk 213),"1.3390353, 103.7397325"
Bedok Reservoir Road (Blk 132),"1.3329230, 103.9119068"
Woodlands Circle (Blk 721),"1.4440056, 103.8003444"
Choa Chu Kang Avenue 3 (Blk 286),"1.3800582, 103.7418143"
Hougang Central (Blk 838),"1.3703848, 103.8908827"
Crescent Road,"1.3037597, 103.8931542"
Pasir Ris Street 11 (Blk 145),"1.3632520, 103.9608318"
Upper Neram Road,"1.3873436, 103.8659197"
Choa Chu Kang Avenue 3 (Blk 405),"1.3801448, 103.7395515"
Simei Street 5 (Blk 246),"1.3450275, 103.9541684"
Trevose Crescent (Trevose Park),"1.3266707, 103.8225016"
Jurong West Street 91 (Blk 910),"1.3418326, 103.6859788"
Yishun Ring Road (Blk 360),"1.4277638, 103.8457645"
Choa Chu Kang Avenue 3 (Blk 411),"1.3810160, 103.7409997"
Siglap Walk,"1.3174883, 103.9199538"
Grace Walk,"1.3583177, 103.8687741"
Jalan Daud (The Heliconia),"1.3263977, 103.9089042"
Aljunied Crescent (Blk 99),"1.3214068, 103.8844057"
n Eunos s Mansion),"1.3298667, 103.9056122"
Woodlands Drive 62 (Blk 683C),"1.4412347, 103.8032874"
langah Street 31 lk 90A),"1.4304947, 103.7749927"
Seletar North Link,"1.4244523, 103.8843781"
is Street 21 lk 272),"1.3682576, 103.9621864"
Kaki Bukit Avenue 1,"1.3347731, 103.9077134"
embangan,"1.3242698, 103.9099090"
Lorong 34 Geylang,"1.3131745, 103.8878343"
Geylang Bahru (Blk 57),"1.3234434, 103.8690181"
n Molek,"1.5245430, 103.7898068"
Tampines Street 41 (Blk 412),"1.3594393, 103.9462590"
Chai Chee Drive (Blk 55),"1.3271729, 103.9193384"
Serangoon orth Avenue 1 (Blk 101),"1.3710196, 103.8702244"
Jervois Road,"1.2949322, 103.8212073"
Hougang Street 52 (Blk 699A),"1.3769892, 103.8889799"
Hougang Avenue 8 (Blk 648),"1.3721316, 103.8798257"
Lengkong Tiga (Blk 106),"1.3251052, 103.9099130"
Reservoir Road lk 702),"1.3373472, 103.9187946"
Jurong East Street 32 (Blk 310),"1.3482257, 103.7337588"
Pasir Ris Drive 6 (Blk 470),"1.3738156, 103.9574212"
hee Street lk 52),The address probably not exists
Bedok Reservoir Road (Blk 137),"1.3337227, 103.9128130"
Sengkang East Avenue (Austville Residences),"1.3813308, 103.9009335"
orong Marican,"1.3221269, 103.9083895"
Choa Chu ang Avenue 4 (Blk 423),"1.3820462, 103.7403661"
Yung An Road (Blk 358),"1.3363799, 103.7206740"
Eunos Avenue 5A,"1.3221880, 103.8995332"
Boon Lay Drive (Blk 176),"1.3473430, 103.7100505"
Paya Lebar Way (Blk 120),"1.3226178, 103.8842681"
Jurong West Street 42 (Blk 412),"1.3533252, 103.7260658"
Serangoon Central (Blk 205),"1.3529041, 103.8736675"
Woodlands Drive 14 (Blk 527),"1.4318351, 103.7921495"
Choa Chu Kang Avenue 3 (Blk 402),"1.3792110, 103.7393931"
Tampines Street 41 (Blk 432),"1.3588201, 103.9504721"
ds Avenue 6 lk 788),"1.4432995, 103.8017480"
Bedok South Avenue 1 (Blk 3),"1.3219076, 103.9331111"
Nim Road Nim Gardens),"1.3810656, 103.8633312"
orong L Telok Kurau (Pinehurst ondominium),"1.3125085, 103.9150744"
Jurong East Street 24 (Blk 264),"1.3437201, 103.7414541"
Jalan Tua Kong,"1.3155361, 103.9257955"
orong Ah Soo (Blk 128),"1.3517360, 103.8864427"
Choa Chu ang Avenue 4 (Blk 424),"1.3814602, 103.7402756"
Woodlands Avenue 4 (Blk 614),"1.4345062, 103.7963827"
Lorong L Telok Kurau,"1.3119655, 103.9118591"
Roseburn Avenue,"1.3150164, 103.9179902"
Fidelio Street,"1.3190956, 103.9229971"
Ang Mo Kio Avenue 4 (Blk 610),"1.3798478, 103.8394238"
Jalan Pelatok,"1.3461166, 103.9612975"
a Crescent lk 52),"7.2911685, 81.6723761"
Jurong West Avenue 1 (Blk 538),"1.3500231, 103.7153901"
Bishan Street 24 (Blk 273A),"1.3563043, 103.8439529"
Chu Kang enue 4 lk 424),"1.3814602, 103.7402756"
Woodlands Circle (Blk 733),"1.4436850, 103.7987597"
Woodlands Drive 14 (Blk 515),"1.4347819, 103.7903386"
Jalan Khairuddin,"1.3201625, 103.9226894"
Upper Boon Keng Road (Blk 13),"1.3145569, 103.8704735"
Toa Payoh North (Blk 199),"1.3419864, 103.8506561"
Bedok Reservoir Road (Blk 147),"1.3349004, 103.9116349"
e Close lk 12),The address probably not exists
Woodlands Drive 62 (Blk 681A),"1.4395436, 103.8037402"
Pasir Ris Street 21 (Blk 266),"1.3661577, 103.9638157"
Jalan Ismail,"1.3230526, 103.9069745"
Toa Payoh North (Blk 208),"1.3419570, 103.8451760"
Woodlands Crescent (Blk 779),"1.4475658, 103.8003896"
nds Drive 50 k 896C),"1.4369580, 103.7931110"
Joo Seng Road (Blk 21),"1.3343686, 103.8806398"
Woodlands Drive 42 (Blk 603),"1.4377516, 103.7967676"
Tai Thong Crescent (The Venue Residences),"1.3286027, 103.8695664"
ock Avenue,"1.2837366, 103.8591923"
Primrose Avenue,"1.3158098, 103.9345991"
Waringin Park,"1.3224191, 103.9185485"
Simei Street 2 (Blk 141),"1.3457556, 103.9550127"
Rosyth Road,"1.3626970, 103.8765551"
Pasir Ris Drive 6 (Blk 423),"1.3699334, 103.9546897"
Lorong 22 Geylang (Prime Residence),"1.3112274, 103.8824372"
oon Lay Place (Blk 213),"1.3495248, 103.7128562"
Bedok Reservoir Road (Blk 130),"1.3335058, 103.9123599"
Choa Chu ang Avenue 1 (Blk 809A),"1.3746169, 103.7446203"
Jalan Tenteram (Blk 21),"1.3261940, 103.8602587"
nds Drive 60 k 786D),"1.4467543, 103.8010235"
Ang Mo Kio Street 32 (Blk 350),"1.3636482, 103.8500447"
Choa Chu Kang Avenue 3 (Blk 288),"1.3789622, 103.7411807"
Ang Mo Kio Avenue 10 (Blk 435),"1.3677443, 103.8541891"
Siglap Avenue,"1.3183606, 103.9171649"
Bedok eservoir View (Blk 766),"1.3362205, 103.9364691"
Jalan Menarong,"1.3710454, 103.8303511"
Choa Chu Kang Avenue 4 (Blk 420),"1.3813805, 103.7413617"
Compassvale Link (Blk 277A),"1.3818860, 103.8945020"
erah Kechil venue a @ Tanah erah),"1.3295629, 103.9461517"
Boon Lay Place (Blk 210),"1.3481680, 103.7130822"
Tampines Street 32 (Blk 301),"1.3533820, 103.9555056"
Ubi Avenue 1 (Blk 325),"1.3276889, 103.9039840"
orong Ah Soo (Blk 137),"1.3493178, 103.8868052"
Choa Chu Kang Avenue 3 (Blk 291),"1.3785319, 103.7395515"
Bishan Street 22 (Blk 234),"1.3584894, 103.8460363"
hee Road lk 804),The address probably not exists
Clementi Avenue 4 (Blk 303),"1.3212466, 103.7648068"
Choa Chu Kang Avenue 3 (Blk 473),"1.3794218, 103.7378317"
ampines Street 34 (Blk 367),"1.3581446, 103.9602324"
g Avenue 4 lk 577),"1.3713523, 103.8880588"
Jalan Sayang,"1.3217141, 103.9151403"
Hougang Avenue 4 (Blk 607),"1.3701923, 103.8862615"
Amber Road (The Shore Residences),"1.3028111, 103.9009506"
an Bedok,"1.3236038, 103.9273405"
Bedok South Road (Blk 167),"1.3209709, 103.9464440"
Rivervale Cresent (Blk 180C),"1.3895416, 103.9096411"
Jurong East Street 21 (Blk 208),"1.3384460, 103.7426580"
Compassvale Bow (Blk 264B),"1.3813750, 103.8965380"
Pine Close (Blk 12),"1.3085807, 103.8822768"
nds Drive 62 k 683D),"1.4409336, 103.8031643"
Woodlands Drive 16 (Blk 537),"1.4299237, 103.7926928"
Lorong Marzuki,"1.3224195, 103.9089218"
hoa Chu Kang Avenue 4 (Blk 418),"1.3824069, 103.7413617"
Jalan Tenaga (Blk 652),"1.3326533, 103.9079192"
Woodlands Ring Road (Blk 652),"1.4378811, 103.7995747"
Rivervale Street (Blk 129),"1.3899180, 103.9025930"
Pasir Ris Drive 6 (Blk 474),"1.3752661, 103.9569561"
Jalan Kelempong,"1.3622742, 103.9674548"
nds Drive 60 lk 770),"1.4468837, 103.7995844"
Hoy Fatt Road (Blk 50),"1.2876985, 103.8110754"
Jalan Isnin,"1.3530929, 103.8371760"
Jalan Chengam,"1.3725447, 103.8318607"
Hougang Avenue 5 (Blk 314),"1.3647430, 103.8943035"
Bishan Street 22 (Blk 260),"1.3596114, 103.8420506"
Bishan Street 24 (Blk 286),"1.3584283, 103.8439529"
lands Ring Road lk 666),"1.4017502, 103.9152464"
Tosca Street,"1.3181149, 103.9275268"
Cassia Cresent (Blk 56),"1.3102916, 103.8831333"
Metropole Drive,"1.3215861, 103.9255817"
Serangoon orth Avenue 4 (Blk 520),"1.3721647, 103.8734868"
Ang Mo Kio Avenue 8 (Blk 508),"1.3737824, 103.8490256"
Bedok South Road (Blk 19),"1.3196254, 103.9342936"
Changi Road,"1.3182725, 103.9085841"
Jalan Lanjut,"1.3704435, 103.8307897"
Palm Grove Avenue,"1.3603247, 103.8784859"
Jalan Kenarah,"1.3847320, 103.8710814"
Pasir Ris Street 21 (Blk 257),"1.3670970, 103.9637556"
Sin Ming Avenue (Blk 454),"1.3591653, 103.8306379"
Rivervale Drive (Blk 119B),"1.3842618, 103.9028868"
Jurong West Street 61 (Blk 641),"1.3408214, 103.6962935"
Hougang Street 61 (Blk 696),"1.3759716, 103.8876207"
Compassvale Bow (The Quartz),"1.3807970, 103.8941010"
Edgedale Plains (Blk 174B),"1.3965870, 103.9109000"
asir Ris Street 11 (Blk 114),"1.3684667, 103.9550523"
oa Payoh East (Blk 26),"1.3328732, 103.8569068"
Bedok eservoir Road (Blk 601),"1.3299265, 103.9112724"
Jurong West Street 41 (Blk 473),"1.3486611, 103.7229013"
Woodlands Circle (Blk 764),"1.4451644, 103.7969487"
Ang Mo Kio Avenue 3 (Blk 101),"1.3702489, 103.8394238"
La Salle Street,"1.3177303, 103.9186560"
Chuan Hoe Avenue,"1.3644628, 103.8761639"
nds Drive 50 k 899B),"1.4361131, 103.7949903"
hoa Chu Kang Avenue 2 (Blk 287),"1.3793266, 103.7415428"
Reservoir Road lk 109),"1.3298069, 103.9097997"
Jurong West Street 81 (Blk 831),"1.3449585, 103.6946896"
Jurong East Street 24 (Blk 248),"1.3422743, 103.7400719"
Serangoon Central (Blk 411),"1.3488077, 103.8740246"
Surin Avenue,"1.3560139, 103.8835131"
hoa Chu Kang Avenue 4 (Blk 422),"1.3823357, 103.7409997"
Jalan Tenaga (Blk 658),"1.3336872, 103.9062880"
Ang Mo Kio Avenue 2,"1.3727518, 103.8331481"
Tampines Street 41 (Blk 416),"1.3591401, 103.9473468"
Lorong 16 Geylang,"1.3112478, 103.8799103"
Boon Lay Place (Blk 209),"1.3463616, 103.7151179"
Sembawang Close (Blk 332),"1.4467103, 103.8169846"
Jalan Kuang,"1.3469083, 103.9611174"
Bedok South Road (Blk 162),"1.3196312, 103.9460777"
zi Street,"1.3203919, 103.8421505"
Woodlands Drive 75 (Blk 688C),"1.4434121, 103.8072719"
Woodlands Drive 50 (Blk 896C),"1.4370405, 103.7930550"
Kio Avenue 2,"1.3727518, 103.8331481"
ampines Street 43 (Blk 483),"1.3613070, 103.9525210"
Bedok eservoir Road (Blk 719),"1.3365071, 103.9248671"
Ang Mo Kio Avenue 1 (Blk 218),"1.3651811, 103.8415977"
ds Street 82 lk 817),"1.3516141, 103.9365762"
Pending Road (Blk 121),"1.3772913, 103.7697408"
Lorong Ah Soo (Blk 134),"1.3504908, 103.8865333"
orong K Telok Kurau,"1.3130423, 103.9116196"
Sembawang Close (Blk 330),"1.4468518, 103.8178449"
Jalan Rabu,"1.3534165, 103.8374688"
Upper Aljunied Lane (Blk 7),"1.3347419, 103.8787246"
Yung Sheng Road,"1.3341693, 103.7214448"
Woodlands Circle (Blk 731),"1.4428848, 103.7975825"
g M Telok urau,"1.3109464, 103.9124768"
unnan Drive 1,"1.3377248, 103.6912061"
nds Drive 73 k 685B),"1.4413641, 103.8060946"
Choa Chu Kang Avenue 3 (Blk 413),"1.3813730, 103.7426289"
Jalan Lepas,"1.3560380, 103.8880520"
ommonwealth Drive (Blk 50),"1.3011602, 103.7972203"
Admiralty Road West,"1.4560244, 103.7986363"
Reservoir View lk 766),"1.3362205, 103.9364691"
Frankel Avenue,"1.3165158, 103.9179586"
Woodlands Street 82 (Blk 816),"1.4420492, 103.7900573"
Gangsa Road (Blk 106),"1.3779831, 103.7674096"
Holland Avenue (Blk 2),"1.3092147, 103.7960431"
hoa Chu Kang Street 51 (Blk 517),"1.3910501, 103.7429005"
orong L Telok Kurau,"1.3119655, 103.9118591"
Choa Chu Kang Avenue 4 (Blk 438),"1.3841610, 103.7397020"
Tampines Street 42 (Blk 449),"1.3570683, 103.9510635"
Lorong 9 Geylang,"1.3124177, 103.8765323"
Lorong G Telok Kurau (East Bay Gardens),"1.3177929, 103.9125237"
Woodlands Drive 60 (Blk 770),"1.4466226, 103.7985786"
Circuit Road (Blk 43),"1.3265070, 103.8855140"
Bedok Reservoir Road (Blk 146),"1.3346066, 103.9118161"
Amber Gardens (King's Mansion),"1.3007722, 103.8983675"
Jalan Mutiara (The Montana),"1.2962463, 103.8292055"
Lorong 37 Geylang,"1.3155179, 103.8896641"
Hougang Avenue 4 (Blk 576),"1.3783225, 103.8865333"
Jurong West Street 81 (Blk 832),"1.3442968, 103.6950966"
Choa Chu Kang North 6 (Blk 637),"1.3973253, 103.7482410"
Jurong West Street 64 (Blk 678A),"1.3451052, 103.7042586"
Park Villas Green,"1.3679257, 103.8794579"
Boon Keng Road lk 3D),"1.3153712, 103.8645024"
Tampines Street 42 (Blk 450),"1.3574124, 103.9516754"
lap Hill,The address probably not exists
Woodlands Drive 72 (Blk 797),"1.4436587, 103.8030157"
Lorong 1 Toa Payoh (Blk 114),"1.3409248, 103.8443152"
Lorong Ah Soo (Blk 135),"1.3501237, 103.8867146"
Bishan Street 13 (Blk 177),"1.3477901, 103.8536003"
Chai Chee Street (Blk 41),"1.3274212, 103.9258996"
Pasir Ris Drive 6 (Blk 413),"1.3728579, 103.9555056"
Woodlands Ring Road (Blk 656),"1.4370026, 103.7992125"
dmiralty Link (Blk 402),"1.4538036, 103.8155808"
Jalan Eunos,"1.3241077, 103.9054983"
Simei Street 1 (Blk 108),"1.3429963, 103.9510862"
Bishan Street 22 (Blk 248),"1.3615089, 103.8432282"
Hougang Avenue 5 (Blk 320),"1.3663790, 103.8981550"
Woodlands Drive 73 (Blk 684B),"1.4418124, 103.8048268"
Jurong East Street 24 (Blk 251),"1.3431380, 103.7395515"
Hougang Avenue 5 (Blk 310),"1.3663252, 103.8961384"
Lorong 29 Geylang,"1.3141795, 103.8856631"
Jurong East Street 24 (Blk 250),"1.3426414, 103.7399362"
engkong Tiga (Blk 112),"1.3234906, 103.9112673"
Woodlands Street 83 (Blk 867),"1.4423255, 103.7930550"
Hougang Street 21 (Blk 211),"1.3596370, 103.8877113"
Lorong 4 Geylang,"1.3099766, 103.8760568"
Serangoon North Avenue 4 (Blk 506B),"1.3727816, 103.8762841"
Ang Mo Kio Avenue 1 (Blk 220),"1.3656276, 103.8404202"
hoa Chu Kang Avenue 3 (Blk 405),"1.3801448, 103.7395515"
Pandan Gardens (Blk 413),"1.3195115, 103.7479694"
Bedok Reservoir View (Blk 766),"1.3362205, 103.9364691"
Jurong West Street 93 (Blk 989C),"1.3355771, 103.6951373"
Choa Chu Kang Avenue 3 (Blk 283),"1.3796847, 103.7429910"
Hougang Avenue 5 (Blk 311),"1.3656830, 103.8948305"
Kim Keat Avenue,"1.3324775, 103.8580168"
Yuk Tong Avenue,"1.3447663, 103.7728106"
Hougang Avenue 5 (Blk 321),"1.3671186, 103.8982227"
Bedok eservoir View (Aquarius by the Park),"1.3376930, 103.9352420"
Pasir Ris Street 11 (Blk 120),"1.3672262, 103.9543271"
Jurong East Street 24 (Blk 259),"1.3441689, 103.7398250"
Hougang Avenue 10 (Blk 463),"1.3725940, 103.8950963"
Pasir Ris Street 71 (Blk 777),"1.3751087, 103.9372622"
Jurong West Street 61 (Blk 640),"1.3400878, 103.6964745"
Hougang Avenue 10,"1.3730673, 103.8918396"
fly Avenue,"1.2894628, 103.8631850"
Hougang Avenue 3 (Blk 251),"1.3600535, 103.8916077"
Bedok North Avenue 4 (Blk 102),"1.3338732, 103.9374662"
Tanah Merah Kechil Avenue (Optima @ Tanah Merah),"1.3283786, 103.9467770"
Choa Chu Kang Avenue 4 (Blk 418),"1.3824069, 103.7413617"
Woodlands Drive 75 (Blk 688D),"1.4435573, 103.8075436"
es Street 41 lk 424),"1.3588468, 103.9486549"
Circuit Road (Blk 39),"1.3275120, 103.8857179"
ivervale Drive (Blk 186A),"1.3929160, 103.9057840"
Jalan Lana,"1.3239267, 103.9187957"
nds Drive 72 lk 796),"1.4434388, 103.8044632"
g Ong Lye alia Park),"1.3495628, 103.8790004"
Buangkok Green (Blk 582),"1.3792823, 103.8863603"
Jalan Chegar,"1.3537113, 103.8388771"
Yishun Avenue 9 (Blk 317C),"1.4337237, 103.8430470"
Pasir Panjang Hill (Kentview Park),"1.2821380, 103.7856190"
ivervale Drive (Blk 119B),"1.3842618, 103.9028868"
Woo Mon Chew Road,"1.3153401, 103.9294957"
Jurong West Street 42 (Blk 543),"1.3519114, 103.7158423"
Choa Chu Kang North 5 (Blk 760),"1.3931510, 103.7472453"
Toa Payoh North (Blk 202),"1.3414983, 103.8495918"
Jurong East Street 13 (Blk 109),"1.3383251, 103.7358405"
Bedok Reservoir Road (Blk 103),"1.3287662, 103.9094598"
Bishan Street 23 (Blk 220),"1.3575209, 103.8488444"
Stirling Road,"1.2953328, 103.8043994"
Choa Chu Kang Avenue 3 (Blk 290),"1.3788752, 103.7403887"
Woodlands Avenue 1 (Blk 355),"1.4327977, 103.7847701"
iat Avenue,"1.2837366, 103.8591923"
Yishun Avenue 4 (Blk 508B),"1.4142876, 103.8393106"
orong N Telok Kurau,"1.3098618, 103.9119077"
Chempaka Kuning Link (The Springfield),"1.3323720, 103.9496102"
Jalan Hari Raya,"1.3539363, 103.8382179"
Geylang Bahru (Blk 55),"1.3241661, 103.8687625"
Sengkang Central (Blk 270A),"1.3857680, 103.8941370"
Jalan Awang,"1.3237484, 103.9058694"
Jalan Tenteram (Blk 16),"1.3281850, 103.8593724"
unos Crescent (Blk 10),"1.3223009, 103.9025671"
g Avenue 5 lk 327),"1.3682592, 103.8961781"
Shunfu Road (Blk 305),"1.3502707, 103.8389111"
Bishan Street 12 (Blk 127),"1.3460807, 103.8516526"
Rivervale Walk (Blk 108),"1.3828046, 103.8998653"
Alexandra Road,"1.2883283, 103.8054570"
Admiralty Link (Blk 489),"1.4549510, 103.8169300"
Bishan Street 24 (Blk 270),"1.3569790, 103.8420720"
Veerasamy Road (Blk 632),"1.3061145, 103.8544780"
Margate Road,"1.2989212, 103.8888788"
Choa Chu Kang Avenue 3 (Blk 404),"1.3800942, 103.7388047"
Rivervale Street (Blk 139),"1.3889460, 103.9043110"
Jurong West Street 52 (Blk 528),"1.3483286, 103.7170188"
Toa Payoh East (Blk 25),"1.3335315, 103.8569974"
Lorong Kembang,"1.3311997, 103.8738755"
40 Geylang,"1.3134095, 103.8898491"
oyang Avenue Loyang Valley),"1.3681328, 103.9704761"
ds Street 83 lk 832),"1.3532070, 103.9344639"
Chai Chee Avenue (Blk 29A),"1.3248058, 103.9238701"
Pending Road (Blk 233),"1.3765830, 103.7717778"
Bishan Street 22 (Blk 254),"1.3618757, 103.8431376"
Geylang East Avenue 2 (Sims Edge),"1.3163875, 103.8879365"
Jurong East Street 24 (Blk 241),"1.3415064, 103.7430815"
orth Avenue 1 lk 552),"1.3318804, 103.9277675"
Cantonment Road (Blk 1E),"1.2766390, 103.8411519"
Hougang Avenue 3 (Blk 20),"1.3638665, 103.8907921"
Jurong West Street 52 (Blk 524),"1.3472282, 103.7172901"
Woodlands Street 13 (Blk 110),"1.4376251, 103.7815558"
Ang Mo Kio Avenue 4 (Blk 619),"1.3785357, 103.8382463"
Geylang East Avenue 1 (Blk 130),"1.3169993, 103.8878516"
Bishan Street 12 (Blk 142),"1.3454839, 103.8535550"
Aljunied Crescent (Blk 103),"1.3205358, 103.8831333"
Ang Mo Kio Avenue 4 (Blk 113),"1.3718078, 103.8359818"
Greenfield Drive,"1.3131140, 103.9178400"
Tampines Street 41 (Blk 414),"1.3598054, 103.9462590"
ommonwealth Crescent (Blk 99),"1.3073445, 103.8009431"
nds Drive 62 k 683B),"1.4409450, 103.8026535"
Jalan Damai (Blk 666),"1.3337504, 103.9080098"
ds Street 82 lk 850),"1.3516141, 103.9365762"
Tampines Street 23 (Blk 217),"1.3542822, 103.9517887"
Woodlands Drive 50 (Blk 898B),"1.4349362, 103.7950924"
Bedok North Avenue 2 (Blk 512),"1.3333359, 103.9291271"
Rivervale Street (Blk 132),"1.3900720, 103.9035120"
Bishan Street 24 (Blk 266),"1.3581349, 103.8421728"
Tampines Street 44 (Blk 465),"1.3596093, 103.9546897"
Tampines Street 11 (Blk 105),"1.3480158, 103.9468935"
Serangoon Central (Blk 427),"1.3478539, 103.8751112"
14 Geylang,"1.3112980, 103.8791603"
Pasir Ris Street 21 (Blk 229),"1.3727474, 103.9617610"
Lorong 5 Toa Payoh (Blk 48),"1.3373594, 103.8537345"
Hougang Avenue 1 (Blk 174D),"1.3491619, 103.8884362"
Woodlands Street 82 (Blk 850),"1.4409370, 103.7920590"
ougang Street 31 (Blk 375),"1.3632154, 103.8894329"
Canberra Drive (Canberra Residences),"1.4448078, 103.8248866"
Pasir Ris Street 13 (Blk 147),"1.3631539, 103.9619424"
ines Road,The address probably not exists
Joo Seng Road (Blk 10),"1.3346786, 103.8802050"
Jalan Pelikat,"1.3544951, 103.8868833"
is Street 21 lk 271),"1.3502700, 103.9494318"
Lorong Pisang Udang,"1.3433911, 103.7720538"
Bedok South Road (Blk 15),"1.3208647, 103.9355622"
Pasir Ris Drive 6 (Blk 417),"1.3719791, 103.9555056"
Potong Pasir Avenue 1 (Blk 119),"1.3345241, 103.8629711"
edok Reservoir Road (Blk 635),"1.3307863, 103.9049059"
alan Menarong,"1.3710454, 103.8303511"
Yishun Avenue 4 (Blk 509A),"1.4137179, 103.8395144"
Lor 23 Geylang,"1.3151388, 103.8813018"
Compassvale Street (Blk 252),"1.3938655, 103.9002224"
Bedok North Avenue 4 (Blk 100),"1.3342680, 103.9387805"
Thomson Road (Alegria),"1.3241812, 103.8410543"
Chu Kang entral lk 355),"1.3830339, 103.7438283"
Yishun Street 81 (Blk 865),"1.4141640, 103.8385180"
