NG AVENUE 8 (BLK 660),1,
NG STREET 92 (Blk 942),5,
G STREET 92 (BLK 943),1,
Location,No. of Dengue Cases,
A CHU KANG NORTH 6,1,
U KANG NORTH 6 (BLK 553),2,
U KANG NORTH 6 (BLK 555),1,
U KANG NORTH 6 (BLK 556),4,
U KANG NORTH 6 (BLK 557),3,
U KANG NORTH 6 (BLK 559),2,
U KANG NORTH 6 (BLK 561),1,
KANG STREET 52 (BLK 562),2,
KANG STREET 52 (BLK 565),1,
KANG STREET 52 (BLK 567),1,
KANG STREET 62 (BLK 602),2,
KANG STREET 62 (BLK 608),1,
KANG STREET 62 (BLK 627),1,
Location,No. of Dengue Cases,
BEATTY ROAD,2,
OURSE ROAD (BLK 681),1,
OURSE ROAD (BLK 682),1,
OURSE ROAD (BLK 684),2,
"",,
ERANGOON ROAD,3,
STARLIGHT ROAD,1,
STURDEE ROAD,2,
JOO AVENUE,1,
SING AVENUE,1,
OXFORD ROAD,1,
ENT ROAD (BLK 52),1,
LOUCESTER ROAD,1,
AVENDER STREET,1,
Location,No. of Dengue Cases,
N CENTRAL (BLK 304),2,
N CENTRAL (BLK 320),3,
N CENTRAL (BLK 321),1,
N CENTRAL (BLK 322),2,
N CENTRAL (BLK 323),2,
N CENTRAL (BLK 325),1,
N RING ROAD (BLK 326),2,
N RING ROAD (BLK 328),1,
N RING ROAD (BLK 329),2,
N RING ROAD (BLK 332),3,
Location,No. of Dengue Cases,
NG AVENUE 1 (BLK 101),2,
NG AVENUE 1 (BLK 102),2,
NG AVENUE 1 (BLK 103),7,
NG AVENUE 1 (BLK 104),2,
NG AVENUE 1 (BLK 108),1,
NG AVENUE 1 (BLK 109),1,
NG AVENUE 1 (BLK 110),1,
NG AVENUE 1 (BLK 113),1,
NG AVENUE 1 (BLK 116),1,
Location,No. of Dengue Cases,
TREET 11 (BLK 102),1,
TREET 11 (BLK 111),1,
TREET 11 (BLK 112),1,
TREET 11 (BLK 114),1,
TREET 11 (BLK 118),1,
TREET 11 (BLK 119),2,
TREET 11 (BLK 120),2,
TREET 11 (BLK 121),2,
TREET 11 (BLK 129),1,
TREET 11 (BLK 134),1,
TREET 11 (BLK 135),3,
TREET 11 (BLK 138),1,
Location,No. of Dengue Cases,
"MPINES AVENUE 1MPINES AVENUE 8","141",
Location,No. of Dengue Cases,
DAWSON ROAD,10,
HMORE AVE (BLK 61C),1,
HMORE AVE (BLK 61A),1,
Location,No. of Dengue Cases,
OO CHIAT PLACE,4,
NG J TELOK KURAU,4,
NG K TELOK KURAU,3,
Location,No. of Dengue Cases,
JALAN GIRANG,1,
JALAN RIA,1,
JALAN RIANG,2,
LAN SUKACHITA,2,
OLSKEL ROAD,4,
Location,No. of Dengue Cases,
RIS DRIVE 4 (BLK 232),1,
RIS DRIVE 4 (BLK 480),1,
RIS DRIVE 4 (BLK 483),2,
RIS DRIVE 4 (BLK 486),3,
RIS DRIVE 4 (BLK 487),2,
RIS DRIVE 6 (BLK 477),1,
Location,No. of Dengue Cases,
N STREET 21 (BLK 201),1,
N STREET 21 (BLK 202),1,
N STREET 21 (BLK 206),2,
N STREET 21 (BLK 212),2,
N STREET 21 (BLK 213),2,
N STREET 21 (BLK 214),2,
Location,No. of Dengue Cases,
INT FRANCIS ROAD,3,
EORGES ROAD (BLK 98),1,
T MICHAELS ROAD,1,
LAN SEMERBAK,4,
Location,No. of Dengue Cases,
SERVOIR ROAD (BLK 702),3,
SERVOIR ROAD (BLK 703),2,
SERVOIR ROAD (BLK 704),1,
SERVOIR ROAD (BLK 705),1,
SERVOIR ROAD (BLK 706),1,
Location,No. of Dengue Cases,
GRACE WALK,3,
ON AVENUE 4 (BLK 221),1,
ON AVENUE 4 (BLK 222),1,
ON AVENUE 4 (BLK 224),1,
ON AVENUE 4 (BLK 225),1,
ON AVENUE 4 (BLK 226),1,
Location,No. of Dengue Cases,
E CRESCENT (BLK 34),1,
E CRESCENT (BLK 47),1,
E TERRACE (BLK 15),1,
E TERRACE (BLK 55),5,
Location,No. of Dengue Cases,
NGSA ROAD (BLK 104),2,
DING ROAD (BLK 112),1,
DING ROAD (BLK 113),1,
DING ROAD (BLK 115),1,
IT PANJANG RING ROAD,1,
NJANG RING ROAD (BLK 241),1,
Location,No. of Dengue Cases,
TCHESTER AVENUE,2,
GOON GARDENS WAY,2,
VISTOCK AVENUE,3,
Location,No. of Dengue Cases,
AVENUE 11 (BLK 343),1,
RING ROAD (BLK 342),1,
RING ROAD (BLK 363),1,
RING ROAD (BLK 365),1,
RING ROAD (BLK 367),3,
Location,No. of Dengue Cases,
ESERVOIR RD (BLK 129),1,
ESERVOIR RD (BLK 139),1,
ESERVOIR RD (BLK 143),1,
ESERVOIR RD (BLK 144),2,
ESERVOIR RD (BLK 151),1,
Location,No. of Dengue Cases,
OR 34 GEYLANG,2,
OR 36 GEYLANG,3,
OR 40 GEYLANG,1,
Location,No. of Dengue Cases,
"",,
"",
Location,No. of Dengue Cases
ES STREET 23 (BLK 215),1
ES STREET 24 (BLK 220),2
S STREET 24 (BLK 230D),1
ES STREET 42 (BLK 450),2
Location,No. of Dengue Cases,
SERVOIR ROAD (BLK 613),3,
SERVOIR ROAD (BLK 613A),2,
SERVOIR ROAD (BLK 623B),1,
SERVOIR ROAD (BLK 625),1,
Location,No. of Dengue Cases,
TIONG ROAD (BLK 4A),2,
UKIT HO SWEE (BLK 10),1,
N HO SWEE (BLK 12),1,
BAHRU ROAD (BLK 7),1,
Location,No. of Dengue Cases,
GOON AVE 2 (BLK 302),1,
OONAVE 2 (BLK 309),1,
OONAVE 2 (BLK 312),1,
OONAVE 2 (BLK 317),1,
RONG CHUAN,1,
Location,No. of Dengue Cases,
NFU ROAD (BLK 304),2,
NFU ROAD (BLK 308),1,
NFU ROAD (BLK 315),1,
NFU ROAD (BLK 316),1,
Location,No. of Dengue Cases,
KIO AVENUE 1 (BLK 330),1,
KIO STREET 32 (BLK 350),3,
Location,No. of Dengue Cases
KIO AVENUE 5 (BLK 502),1
KIO AVENUE 8 (BLK 504),1
KIO AVENUE 8 (BLK 511),1
KIO AVENUE 8 (BLK 513),1
Location,No. of Dengue Cases
TOK STREET 33 (BLK 331),2
TOK STREET 33 (BLK 328),1
WEST AVENUE 4 (BLK 415),1
Location,No. of Dengue Cases,
WEALTH DRIVE (BLK 74),1,
WEALTH DRIVE (BLK 78),1,
WEALTH DRIVE (BLK 79),2,
Location,No. of Dengue Cases,
AR ROAD (BLK 403),4,
Location,No. of Dengue Cases,
G STREET 51 (BLK 555),1,
G STREET 52 (BLK 534),1,
G STREET 52 (BLK 537),1,
G STREET 52 (BLK 639),1,
Location,No. of Dengue Cases,
AY SIANG ROAD,4,
Location,No. of Dengue Cases,
OK BAHRU (BLK 63B),1,
HILL LANE (BLK 78),1,
DHILL RD (BLK 76A),1,
DHILL RD (BLK 77A),1,
Location,No. of Dengue Cases,
IS STREET 21 (BLK 204),1,
"",,
IS STREET 21 (BLK 252),2,
Location,No. of Dengue Cases,
N AVENUE 3 (BLK 766),1,
N AVENUE 3 (BLK 767),1,
N STREET 72 (BLK 757),1,
N STREET 72 (BLK 762),1,
Location,No. of Dengue Cases,
KANG STREET 51 (BLK 502),1,
KANG STREET 51 (BLK 506),1,
KANG STREET 51 (BLK 511),1,
Location,No. of Dengue Cases,
DAISY AVENUE,3,
Location,No. of Dengue Cases,
FARRER ROAD,3,
Location,No. of Dengue Cases,
4 TOA PAYOH (BLK 81B),1,
4 TOA PAYOH (BLK 82A),1,
2 TOA PAYOH (BLK 83),1,
Location,No. of Dengue Cases,
BRIDGE ROAD (BLK 9),1,
BRIDGE ROAD (BLK 467),1,
ACH ROAD (BLK 4),1,
Location,No. of Dengue Cases,
ASIR RIS LINK,3,
Location,No. of Dengue Cases,
IS STREET 53 (BLK 576),2,
IS STREET 53 (BLK 577),1,
Location,No. of Dengue Cases,
PETIR ROAD,2,
TIR ROAD (BLK 167),1,
Location,No. of Dengue Cases,
ON AVENUE 3 (BLK 245),1,
ON AVENUE 3 (BLK 246),1,
ON AVENUE 3 (BLK 324),1,
Location,No. of Dengue Cases,
N AVENUE 5 (BLK 711),1,
N AVENUE 5 (BLK 711),1,
N STREET 71 (BLK 713),1,
Location,No. of Dengue Cases,
CLOVER RISE,2,
Location,No. of Dengue Cases,
GSA ROAD (BLK 146),1,
GSA ROAD (BLK 154),1,
Location,No. of Dengue Cases,
NG AVENUE 7 (BLK 356),2,
nnect With Us,"GO TONEA Website"
"",
"",
gency,,,,
Feedback,FAQS,Contact Us,,
Participate Resources,,Contact,,
Dengue Cluster Information @ NEA 2013,,,,
Click here for more NEA information in OneMap,,,,
ases occur within 14 days and the homes of the dengue victims,,,,
"oundary, please click on the cluster locality.",,,,
Each alert level is associated with a list of preventive actions,,,,
here are 3 alert levels:,,,,
Alert Level,,,,
Red,,,,
Yellow,,,,
t Green,,,,
Breakdown,,,,
"",No. of Dengue,,,
Location,,,,
"",,Cases,,
INES AVENUE 5 (BLK 858),,1,,
INES AVENUE 5 (BLK 859),,3,,
INES AVENUE 5 (BLK 860),,4,,
ES AVENUE 5 (BLK 860B),,1,,
INES AVENUE 5 (BLK 861),,3,,
ES AVENUE 5 (BLK 861A),,1,,
AMPINES AVENUE 8,,4,,
ES AVENUE 8 (BLK 868A),,1,,
INES AVENUE 8 (BLK 878),,2,,
INES AVENUE 8 (BLK 880),,1,,
ES AVENUE 8 (BLK 893A),,1,,
NES STREET 71 (BLK 707),,1,,
NES STREET 71 (BLK 724),,4,,
NES STREET 71 (BLK 725),,2,,
NES STREET 71 (BLK 726),,1,,
NES STREET 71 (BLK 731),,3,,
NES STREET 71 (BLK 732),,2,,
NES STREET 71 (BLK 734),,1,,
"",,,,1/1
AMPINES STREET 73,4,
NES STREET 81 (BLK 821),1,
ES STREET 81 (BLK 888A),1,
NES STREET 81 (BLK 887),1,
NES STREET 81 (BLK 889),3,
NES STREET 81 (BLK 894),1,
NES STREET 82 (BLK 830),1,
NES STREET 82 (BLK 832),1,
NES STREET 82 (BLK 836),2,
NES STREET 82 (BLK 842),8,
ES STREET 82 (BLK 842B),2,
ES STREET 82 (BLK 842C),5,
ES STREET 82 (BLK 842G),2,
ES STREET 82 (BLK 842H),1,
NES STREET 82 (BLK 854),1,
NES STREET 82 (BLK 856),4,
ES STREET 82 (BLK 856B),4,
ES STREET 82 (BLK 856D),2,
ES STREET 82 (BLK 856E),3,
ES STREET 82 (BLK 856F),5,
NES STREET 83 (BLK 831),2,
NES STREET 83 (BLK 833),3,
NES STREET 83 (BLK 835),1,
NES STREET 83 (BLK 837),1,
NES STREET 83 (BLK 839),10,
NES STREET 83 (BLK 841),4,
NES STREET 83 (BLK 843),6,
NES STREET 83 (BLK 845),1,
NES STREET 83 (BLK 847),3,
NES STREET 83 (BLK 849),2,
NES STREET 83 (BLK 851),12,
NES STREET 83 (BLK 853),4,
NES STREET 83 (BLK 855),17,
NES STREET 83 (BLK 857),1,
ES STREET 83 (BLK 857A),3,
ES STREET 83 (BLK 857B),1,
NES STREET 83 (BLK 862),6,
ES STREET 83 (BLK 862A),2,
ES STREET 83 (BLK 863A),1,
ES STREET 83 (BLK 863B),1,
NES STREET 83 (BLK 864),1,
ES STREET 83 (BLK 864A),3,
NES STREET 83 (BLK 867),1,
ES STREET 83 (BLK 867A),1,
NES STREET 83 (BLK 868),1,
NES STREET 83 (BLK 883),1,
NES STREET 83 (BLK 885),1,
NES STREET 83 (BLK 886),1,
NES STREET 84 (BLK 871),2,
ES STREET 84 (BLK 871A),1,
NES STREET 84 (BLK 872),3,
NES STREET 84 (BLK 874),2,
ES STREET 84 (BLK 874A),1,
NES STREET 84 (BLK 882),1,
NES STREET 84 (BLK 883),3,
Location,No. of Dengue Cases,
ES CENTRAL 1 (BLK 501),2,
ES CENTRAL 1 (BLK 503),4,
ES STREET 21 (BLK 236),2,
ES STREET 21 (BLK 238),1,
ES STREET 21 (BLK 239),2,
ES STREET 21 (BLK 240),4,
ES STREET 21 (BLK 243),2,
ES STREET 21 (BLK 244),1,
MPINES STREET 41,1,
ES STREET 41 (BLK 401),4,
ES STREET 41 (BLK 402),8,
ES STREET 41 (BLK 403),3,
ES STREET 41 (BLK 404),10,
ES STREET 41 (BLK 405),7,
ES STREET 41 (BLK 406),6,
ES STREET 41 (BLK 407),5,
ES STREET 41 (BLK 408),5,
ES STREET 41 (BLK 409),2,
ES STREET 41 (BLK 410),3,
ES STREET 41 (BLK 411),2,
ES STREET 41 (BLK 412),3,
ES STREET 41 (BLK 413),1,
ES STREET 41 (BLK 414),3,
ES STREET 41 (BLK 415),5,
ES STREET 41 (BLK 416),1,
ES STREET 41 (BLK 418),4,
ES STREET 41 (BLK 419),2,
ES STREET 41 (BLK 421),1,
ES STREET 41 (BLK 422),1,
ES STREET 41 (BLK 423),3,
ES STREET 41 (BLK 424),3,
ES STREET 41 (BLK 426),3,
ES STREET 41 (BLK 429),1,
ES STREET 41 (BLK 430),2,
ES STREET 41 (BLK 432),2,
Location,No. of Dengue Cases,
N AVENUE 6 (BLK 283),1,
N AVENUE 6 (BLK 286),4,
N AVENUE 6 (BLK 288),5,
N AVENUE 6 (BLK 289),1,
N AVENUE 9 (BLK 244),1,
N AVENUE 9 (BLK 245),5,
N AVENUE 9 (BLK 246),3,
N AVENUE 9 (BLK 247),2,
N AVENUE 9 (BLK 248),3,
N AVENUE 9 (BLK 249),5,
N AVENUE 9 (BLK 250),8,
N RING ROAD (BLK 225),1,
N RING ROAD (BLK 244),2,
N RING ROAD (BLK 252),1,
N RING ROAD (BLK 253),1,
N RING ROAD (BLK 254),4,
N RING ROAD (BLK 255),6,
N RING ROAD (BLK 257),1,
N STREET 21 (BLK 222),1,
N STREET 21 (BLK 223),1,
N STREET 21 (BLK 227),5,
N STREET 21 (BLK 232),1,
N STREET 21 (BLK 234),1,
N STREET 22 (BLK 258),2,
N STREET 22 (BLK 260),4,
N STREET 22 (BLK 261),1,
N STREET 22 (BLK 262),1,
N STREET 22  (BLK 263),6,
N STREET 22  (BLK 264),3,
N STREET 22  (BLK 265),5,
N STREET 22  (BLK 269),2,
N STREET 22  (BLK 270),1,
N STREET 22  (BLK 271),3,
N STREET 22  (BLK 272),2,
N STREET 22  (BLK 273),1,
N STREET 22 (BLK 274),2,
N STREET 22 (BLK 275),5,
N STREET 22 (BLK 277),1,
"",,
gency,,
N STREET 22 (BLK 279),2,
N STREET 22 (BLK 280),2,
N STREET 22 (BLK 291),1,
N STREET 22 (BLK 293),2,
Location,No. of Dengue Cases,
ASIR RIS STREET 51,32,
IS STREET 51 (BLK 537),2,
IS STREET 51 (BLK 538),1,
IS STREET 51 (BLK 540),2,
IS STREET 51 (BLK 541),6,
IS STREET 51 (BLK 543),5,
IS STREET 51 (BLK 547),2,
IS STREET 51 (BLK 552),1,
IS STREET 51 (BLK 553),1,
IS STREET 51 (BLK 558),3,
RIS STREET 51 (BLK 560),3,
IS STREET 51 (BLK 561),1,
IS STREET 51 (BLK 562),4,
IS STREET 51 (BLK 564),1,
IS STREET 51 (BLK 565),5,
IS STREET 51 (BLK 566),4,
IS STREET 51 (BLK 567),3,
RIS STREET 51 (BLK 568),5,
RIS STREET 51 (BLK 569),8,
RIS DRIVE 1 (BLK 531),1,
RIS DRIVE 1 (BLK 533),1,
RIS DRIVE 1 (BLK 534),2,
RIS DRIVE 1 (BLK 535),4,
RIS DRIVE 1 (BLK 536),3,
Location,No. of Dengue Cases,
BOON LAY WAY,4,
ORPORATION RISE,1,
RPORATION ROAD,10,
RPORATION WALK,4,
AKEPOINT DRIVE,35,
LAKESIDE DRIVE,20,
Location,No. of Dengue Cases,
U KANG NORTH 5 (BLK 707),1,
U KANG NORTH 5 (BLK 751),3,
U KANG NORTH 5 (BLK 753),2,
U KANG NORTH 5 (BLK 754),4,
U KANG NORTH 5 (BLK 755),3,
U KANG NORTH 5 (BLK 756),4,
U KANG NORTH 5 (BLK 757),1,
U KANG NORTH 5 (BLK 758),3,
U KANG NORTH 5 (BLK 759),1,
U KANG NORTH 5 (BLK 761),2,
U KANG NORTH 6 (BLK 787),1,
U KANG NORTH 6 (BLK 788),2,
KANG STREET 53 (BLK 701),11,
KANG STREET 53 (BLK 702),8,
KANG STREET 53 (BLK 703),6,
KANG STREET 53 (BLK 704),4,
KANG STREET 53 (BLK 705),5,
KANG STREET 53 (BLK 706),2,
KANG STREET 53 (BLK 707),3,
KANG STREET 53 (BLK 708),3,
HU KANG DRIVE (BLK 784),1,
HU KANG DRIVE (BLK 785),1,
Location,No. of Dengue Cases,
KANG STREET 51 (BLK 525),3,
KANG STREET 51 (BLK 526),1,
KANG STREET 51 (BLK 527),2,
KANG STREET 51 (BLK 528),2,
KANG STREET 51 (BLK 529),1,
KANG STREET 51 (BLK 531),1,
"",,4/1
KANG STREET 52 (BLK 540),2,
KANG STREET 52 (BLK 541),1,
KANG STREET 52 (BLK 542),2,
KANG STREET 52 (BLK 544),3,
KANG STREET 52 (BLK 545),4,
KANG STREET 52 (BLK 547),9,
KANG STREET 52 (BLK 548),8,
KANG STREET 52 (BLK 549),3,
KANG STREET 52 (BLK 550),11,
KANG STREET 52 (BLK 551),2,
KANG STREET 52 (BLK 552),9,
Location,No. of Dengue Cases,
STWOOD AVENUE,13,
STWOOD CRESCENT,4,
ESTWOOD DRIVE,5,
ESTWOOD ROAD,1,
STWOOD TERRACE,8,
ESTWOOD WALK,7,
EST STREET 74 (BLK 759),1,
EST STREET 74 (BLK 764),2,
EST STREET 74 (BLK 766),1,
Location,No. of Dengue Cases,
RPORATION ROAD,9,
EST STREET 52 (BLK 514),1,
EST STREET 52 (BLK 516),4,
EST STREET 52 (BLK 517),3,
EST STREET 52 (BLK 517C),5,
EST STREET 52 (BLK 517D),5,
EST STREET 52 (BLK 517E),3,
EST STREET 52 (BLK 518),5,
EST STREET 52 (BLK 520),1,
EST STREET 52 (BLK 521),1,
Location,No. of Dengue Cases,
A CHU KANG NORTH 6,1,
U KANG NORTH 6 (BLK 553),2,
U KANG NORTH 6 (BLK 555),2,
U KANG NORTH 6 (BLK 556),4,
U KANG NORTH 6 (BLK 557),3,
U KANG NORTH 6 (BLK 559),2,
U KANG NORTH 6 (BLK 561),1,
KANG STREET 52 (BLK 562),2,
KANG STREET 52 (BLK 564),4,
KANG STREET 52 (BLK 565),1,
KANG STREET 52 (BLK 567),1,
KANG STREET 52 (BLK 568),1,
KANG STREET 62 (BLK 602),4,
KANG STREET 62 (BLK 606),1,
KANG STREET 62 (BLK 608),1,
KANG STREET 62 (BLK 627),1,
Location,No. of Dengue Cases,
ANG AVENUE 8 (BLK 466),2,
ANG AVENUE 8 (BLK 467),1,
NG AVENUE 10 (BLK 403),1,
NG AVENUE 10 (BLK 406),1,
NG AVENUE 10 (BLK 407),1,
NG AVENUE 10 (BLK 408),5,
NG AVENUE 10 (BLK 411),1,
NG AVENUE 10 (BLK 412),1,
NG AVENUE 10 (BLK 414),2,
NG AVENUE 10 (BLK 462),4,
ERANGOON ROAD (BLK 464),4,
ERANGOON ROAD (BLK 465),6,
Location,No. of Dengue Cases,
"",,
N CENTRAL (BLK 306),1,
N CENTRAL (BLK 320),3,
N CENTRAL (BLK 321),1,
N CENTRAL (BLK 322),3,
N CENTRAL (BLK 323),2,
N CENTRAL (BLK 324),2,
N CENTRAL (BLK 325),1,
N RING ROAD (BLK 308),1,
N RING ROAD (BLK 326),2,
N RING ROAD (BLK 328),3,
N RING ROAD (BLK 329),3,
N RING ROAD (BLK 331),1,
N RING ROAD (BLK 332),3,
Location,No. of Dengue Cases,
NG AVENUE 1 (BLK 101),2,
NG AVENUE 1 (BLK 102),3,
NG AVENUE 1 (BLK 103),8,
NG AVENUE 1 (BLK 104),3,
NG AVENUE 1 (BLK 108),2,
NG AVENUE 1 (BLK 109),1,
NG AVENUE 1 (BLK 110),1,
NG AVENUE 1 (BLK 113),2,
NG AVENUE 1 (BLK 116),1,
NG AVENUE 1 (BLK 123),1,
Location,No. of Dengue Cases,
MPINES AVENUE 1,23,
MPINES AVENUE 8,1,
Location,No. of Dengue Cases,
BEATTY ROAD,2,
OURSE ROAD (BLK 681),1,
OURSE ROAD (BLK 682),1,
OURSE ROAD (BLK 684),2,
OURSE ROAD (BLK 685),1,
RANGOON ROAD,1,
ERANGOON ROAD,3,
STARLIGHT ROAD,1,
STURDEE ROAD,2,
JOO AVENUE,1,
SING AVENUE,2,
OXFORD ROAD,1,
ENT ROAD (BLK 52),1,
LOUCESTER ROAD,1,
AVENDER STREET,1,
ESSEHSOHN ROAD,1,
OWEN ROAD,1,
Location,No. of Dengue Cases,
TREET 11 (BLK 102),1,
TREET 11 (BLK 111),1,
TREET 11 (BLK 112),1,
TREET 11 (BLK 114),2,
TREET 11 (BLK 118),1,
TREET 11 (BLK 119),2,
TREET 11 (BLK 120),2,
TREET 11 (BLK 121),3,
TREET 11 (BLK 129),1,
TREET 11 (BLK 133),2,
TREET 11 (BLK 134),1,
TREET 11 (BLK 135),3,
TREET 11 (BLK 138),1,
Location,No. of Dengue Cases,
INT FRANCIS ROAD,3,
EORGES ROAD (BLK 22),1,
EORGES ROAD (BLK 23),1,
EORGES ROAD (BLK 98),1,
T MICHAELS ROAD,3,
LAN SEMERBAK,4,
JALAN TAMAN,3,
Location,No. of Dengue Cases,
RIS DRIVE 4 (BLK 232),1,
RIS DRIVE 4 (BLK 480),1,
RIS DRIVE 4 (BLK 483),1,
RIS DRIVE 4 (BLK 485),1,
RIS DRIVE 4 (BLK 486),3,
RIS DRIVE 4 (BLK 487),4,
RIS DRIVE 6 (BLK 472),1,
RIS DRIVE 6 (BLK 476),1,
RIS DRIVE 6 (BLK 477),1,
IS STREET 21 (BLK 236),2,
Location,No. of Dengue Cases,
DAWSON ROAD,10,
HMORE AVE (BLK 60),2,
HMORE AVE (BLK 61C),2,
HMORE AVE (BLK 61A),1,
Location,No. of Dengue Cases,
OO CHIAT PLACE,5,
NG J TELOK KURAU,5,
NG K TELOK KURAU,5,
Location,No. of Dengue Cases,
NGSA ROAD (BLK 104),2,
DING ROAD (BLK 112),1,
DING ROAD (BLK 113),2,
DING ROAD (BLK 115),2,
DING ROAD (BLK 121),1,
IT PANJANG RING ROAD,1,
NJANG RING ROAD (BLK 238),1,
NJANG RING ROAD (BLK 240),1,
NJANG RING ROAD (BLK 241),1,
NJANG RING ROAD (BLK 244),1,
Location,No. of Dengue Cases,
I STREET 1 (BLK 102),3,
I STREET 1 (BLK 105),2,
I STREET 1 (BLK 107),2,
I STREET 1 (BLK 106),1,
I STREET 1 (BLK 113),1,
I STREET 1 (BLK 114),1,
I STREET 1 (BLK 119),1,
I STREET 1 (BLK 256),2,
SIMEI STREET 3,1,
Location,No. of Dengue Cases,
ASIR RIS LINK,12,
Location,No. of Dengue Cases,
SERVOIR ROAD (BLK 702),4,
SERVOIR ROAD (BLK 703),2,
SERVOIR ROAD (BLK 704),1,
SERVOIR ROAD (BLK 705),1,
SERVOIR ROAD (BLK 706),1,
SERVOIR ROAD (BLK 742),1,
SERVOIR ROAD (BLK 744),1,
Location,No. of Dengue Cases,
VERNON PARK,8,
SENG ROAD (BLK 14),1,
SENG ROAD (BLK 17),1,
Location,No. of Dengue Cases,
AVENUE 11 (BLK 343),1,
RING ROAD (BLK 342),1,
RING ROAD (BLK 363),2,
RING ROAD (BLK 365),1,
RING ROAD (BLK 367),4,
"",,
ESTNUT AVENUE,4,
PETIR ROAD,4,
Location,No. of Dengue Cases,
CUIT ROAD (BLK 49),1,
CUIT ROAD (BLK 51),1,
CUIT ROAD (BLK 57),1,
CUIT ROAD (BLK 59),1,
LEBAR WAY (BLK 91),2,
PIT ROAD (BLK 53),1,
PIT ROAD (BLK 55),1,
Location,No. of Dengue Cases,
WEALTH DRIVE (BLK 50),1,
WEALTH DRIVE (BLK 74),1,
WEALTH DRIVE (BLK 78),2,
WEALTH DRIVE (BLK 79),3,
WILTON CLOSE,1,
Location,No. of Dengue Cases,
TCHESTER AVENUE,2,
GOON GARDENS WAY,2,
VISTOCK AVENUE,4,
Location,No. of Dengue Cases,
NDS STREET 82 (BLK 819),1,
NDS STREET 82 (BLK 850),1,
NDS STREET 83 (BLK 830),1,
NDS STREET 83 (BLK 832),2,
NDS STREET 83 (BLK 851),1,
NDS STREET 83 (BLK 865),2,
Location,No. of Dengue Cases,
BRADDELL HILL,7,
Location,No. of Dengue Cases,
DAISY AVENUE,5,
RADDELL ROAD,2,
Location,No. of Dengue Cases,
OK BAHRU (BLK 63A),1,
HILL LANE (BLK 78),1,
DHILL RD (BLK 73A),2,
DHILL RD (BLK 76A),1,
DHILL RD (BLK 77A),2,
Location,No. of Dengue Cases
ES STREET 23 (BLK 215),1
ES STREET 24 (BLK 220),2
ES STREET 24 (BLK 230),1
S STREET 24 (BLK 230D),1
ES STREET 42 (BLK 450),2
Location,No. of Dengue Cases,
N AVENUE 3 (BLK 766),1,
N AVENUE 3 (BLK 767),2,
N STREET 72 (BLK 757),1,
N STREET 72 (BLK 762),2,
N STREET 72 (BLK 763),1,
LOCATION,NO. OF DENGUE CASES,
LAY DRIVE (BLK 199),4,
LAY DRIVE (BLK 200),2,
Location,No. of Dengue Cases,
CHEE ROAD (BLK 21),1,
CHEE ROAD (BLK 23),2,
CHEE ROAD (BLK 24),1,
HEE ROAD (BLK 804),1,
HEE ROAD (BLK 805),1,
Location,No. of Dengue Cases,
OON CENTRAL (BLK 417),2,
"",,
OON CENTRAL (BLK 420),3
Location,No. of Dengue Cases
O KIO AVE 4 (BLK 155),2
O KIO AVE 5 (BLK 152),3
Location,No. of Dengue Cases
TIONG ROAD (BLK 4A),2
LOACK ROAD (BLK 94),1
UKIT HO SWEE (BLK 10),1
N HO SWEE (BLK 12),1
Location,No. of Dengue Cases,
CHAPEL ROAD,1,
RONG STANGEE,2,
TANGEE PLACE,2,
Location,No. of Dengue Cases,
AY SIANG ROAD,5,
Location,No. of Dengue Cases,
I STREET 1 (BLK 126),2,
I STREET 1 (BLK 131),1,
I STREET 1 (BLK 134),1,
I STREET 1 (BLK 136),1,
Location,No. of Dengue Cases,
NDS AVENUE 1 (BLK 353),2,
NDS AVENUE 1 (BLK 354),3,
"",,
Location,No. of Dengue Cases,
NDS STREET 41 (BLK 418),1,
NDS STREET 41 (BLK 421),2,
NDS STREET 41 (BLK 436),2,
Location,No. of Dengue Cases,
IT MERAH (BLK 138),1,
UKIT MERAH (BLK 111),1,
UKIT MERAH (BLK 137),1,
UKIT MERAH (BLK 139),1,
Location,No. of Dengue Cases,
JALAN RAYA,2,
RPATI RD (BLK 13),2,
"",,
Location,No. of Dengue Cases,
NG AH SOO (BLK 143),2,
NG AH SOO (BLK 144),1,
NG AH SOO (BLK 145),1,
Location,No. of Dengue Cases,
BRIDGE ROAD (BLK 9),1,
BRIDGE ROAD (BLK 12),1,
BRIDGE ROAD (BLK 467),1,
ACH ROAD (BLK 4),1,
Location,No. of Dengue Cases,
LAY AVENUE (BLK 185),1,
LAY PLACE (BLK 207),1,
LAY PLACE (BLK 221),1,
Location,No. of Dengue Cases,
KANG CENTRAL (BLK 220),1,
KANG CENTRAL (BLK 224),1,
KANG CENTRAL (BLK 228),1,
LOCATION,NO. OF DENGUE CASES,
DUNBAR WALK,1,
RANKEL AVENUE,2,
Location,No. of Dengue Cases,
FARRER ROAD,3,
Location,No. of Dengue Cases,
gency,
AST AVENUE 1 (BLK 330) 1,
AST AVENUE 1 (BLK 341) 1,
AST STREET 31 (BLK 328) 1,
Location No. of Dengue Cases,
AST STREET 21 (BLK 287A) 2,
AST STREET 21 (BLK 287B) 1,
Location No. of Dengue Cases,
IN HALT ROAD (BLK 33) 1,
IN HALT ROAD (BLK 34) 2,
Location No. of Dengue Cases,
